target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	lFC.x	lFC.y	lFC	is_sig
1	rna-NM_001178157.1	2.12857281969355e-05	0.0011769592370804	18.0706511033753	11.3457950722524	1	6.03144198564758	3.7819316907508	0.00470004677738828	3.77723164397342	0.371351746485606	3.77723164397342	4.80856379395138	4.80856379395138	4.80856379395138	TRUE
2	rna-NM_001178181.1	2.0995291860246e-05	0.0011769592370804	18.0968096485666	5.77537561618387	1	5.90277146718517	1.92512520539462	0.00364079899776637	1.92148440639686	0.348852766420931	1.92148440639686	3.47215599039432	3.47215599039432	3.47215599039432	TRUE
3	rna-NM_001178268.1	1.04760146073671e-05	0.0011769592370804	19.4225975347376	13.5594966242359	1	4.85520666339306	4.51983220807862	0.0224196092393683	4.49741259883926	0.255282462755378	4.49741259883926	5.33643179454576	5.33643179454576	5.33643179454576	TRUE
4	rna-NM_001178453.1	1.1482895897148e-05	0.0011769592370804	19.2473616119844	11.7823028510959	1	6.53788599462735	3.92743428369864	0.00277746001135035	3.92465682368729	0.506507033373961	3.92465682368729	4.95923683847199	4.95923683847199	4.95923683847199	TRUE
5	rna-NM_001178503.1	1.69538514245047e-05	0.0011769592370804	18.5041076736135	8.27009540909993	1	5.16254153749882	2.75669846969998	0.00828744249421949	2.74841102720576	0.258972801382878	2.74841102720576	4.16745359475309	4.16745359475309	4.16745359475309	TRUE
6	rna-NM_001178595.3	1.43721399493951e-05	0.0011769592370804	18.8190899096134	7.37546006964808	1	5.98255676203481	2.45848668988269	0.00352124621923303	2.45496544366346	0.362290170993539	2.45496544366346	3.92589649611557	3.92589649611557	3.92589649611557	TRUE
7	rna-NM_001178615.4	1.35685656359728e-05	0.0011769592370804	18.9288429551659	7.98310001067919	1	6.14727354057256	2.66103333689307	0.00371150906539983	2.65732182782766	0.395587923417299	2.65732182782766	4.07898030542832	4.07898030542832	4.07898030542832	TRUE
8	rna-NM_001178698.1	1.05079206603544e-05	0.0011769592370804	19.4167896643108	9.45794275659718	1	5.90543297041875	3.15264758553239	0.00468892323925156	3.14795866229314	0.349276819429197	3.14795866229314	4.44851738156876	4.44851738156876	4.44851738156876	TRUE
9	rna-NM_001178782.1	5.4244053101168e-06	0.0011769592370804	20.6812688093002	15.8421996104898	1	5.11745643166232	5.2807332034966	0.0171556026407433	5.26357760085586	0.256753235585712	5.26357760085586	5.76745687059536	5.76745687059536	5.76745687059536	TRUE
10	rna-NM_001178841.1	5.50580486214203e-06	0.0011769592370804	20.6527500398882	14.691077132328	1	5.78125447311426	4.89702571077599	0.00757060874243702	4.88945510203355	0.330962850090187	4.88945510203355	5.52599861985225	5.52599861985225	5.52599861985225	TRUE
11	rna-NM_001178940.1	2.10967790186577e-05	0.0011769592370804	18.0876279736312	13.4213597390825	1	5.96428958767985	4.47378657969417	0.00455743508470016	4.46922914460947	0.35907402561594	4.46922914460947	5.23119769308639	5.23119769308639	5.23119769308639	TRUE
12	rna-NM_001178947.1	2.5869479163976e-05	0.0011769592370804	17.6994985296528	8.77036382411772	1	7.42222796039717	2.92345460803924	0.000907262189119599	2.92254734585012	0.820889114200979	2.92254734585012	4.27957148983732	4.27957148983732	4.27957148983732	TRUE
13	rna-NM_001178953.3	2.54657550594268e-06	0.0011769592370804	22.1310481986959	30.5439132399169	1	7.39197519533733	10.1813044133056	0.00317376881505424	10.1781306444906	0.811108412502831	10.1781306444906	7.94405062071893	7.94405062071893	7.94405062071893	TRUE
14	rna-NM_001179016.1	1.83223807565528e-05	0.0011769592370804	18.3561789325891	6.71151514328202	1	6.55871427730017	2.23717171442734	0.00198057045523342	2.23519114397211	0.51369100343784	2.23519114397211	3.7382052523601	3.7382052523601	3.7382052523601	TRUE
15	rna-NM_001179017.1	5.04234061736497e-06	0.0011769592370804	20.8211364435691	17.0437227480697	1	5.03570533343398	5.68124091602324	0.0178685714643475	5.66337234455889	0.253857965981583	5.66337234455889	5.98351827564866	5.98351827564866	5.98351827564866	TRUE
16	rna-NM_001179182.1	1.1101493328288e-05	0.0011769592370804	19.3118550436314	10.0328280262987	1	6.36657333608956	3.34427600876624	0.00315450588162589	3.34112150288461	0.452281641378245	3.34112150288461	4.5521257036214	4.5521257036214	4.5521257036214	TRUE
17	rna-NM_001179196.1	2.00915681507525e-05	0.0011769592370804	18.1805938633408	16.4436704515611	1	5.66075713535914	5.4812234838537	0.00960825062659531	5.4716152332271	0.315414987615944	5.4716152332271	5.78926577782004	5.78926577782004	5.78926577782004	TRUE
18	rna-NM_001179224.1	6.85314910400417e-06	0.0011769592370804	20.233795495071	29.7869828803902	1	6.93551660509477	9.92899429346341	0.00512659548472878	9.92386769797868	0.651799640179592	9.92386769797868	7.80530677235054	7.80530677235054	7.80530677235054	TRUE
19	rna-NM_001179300.1	1.24673332595954e-05	0.0011769592370804	19.0903554028608	9.1865532434313	1	5.16315267759385	3.0621844144771	0.00790914012034099	3.05427527435676	0.259005281679977	3.05427527435676	4.38505003665453	4.38505003665453	4.38505003665453	TRUE
20	rna-NM_001179301.1	2.08072465183721e-05	0.0011769592370804	18.1139408203944	7.30067178770573	1	6.56373070444657	2.43355726256858	0.00187009138599981	2.43168717118258	0.515440208069526	2.43168717118258	3.89301478503154	3.89301478503154	3.89301478503154	TRUE
21	rna-NM_001179327.1	4.42298998770147e-06	0.0011769592370804	21.0721982964106	13.2982355508273	1	5.85592088313062	4.4327451836091	0.00700129324633477	4.42574389036276	0.341631090571496	4.42574389036276	5.27238445185993	5.27238445185993	5.27238445185993	TRUE
22	rna-NM_001179370.3	2.89148948857936e-05	0.0011769592370804	17.4878547324451	7.98663605878129	1	5.2139481481771	2.66221201959376	0.00741267023636041	2.6547993493574	0.261882111925664	2.6547993493574	4.05673935483125	4.05673935483125	4.05673935483125	TRUE
